date,close,ttm_cny,market_cap_hkd,pe_ttm
2022-10-03,45.0,77.48,5061.1,58.79
2022-10-05,47.6,77.48,5353.5,62.19
2022-10-06,47.9,77.48,5387.2,62.58
2022-10-07,48.1,77.48,5409.7,62.84
2022-10-10,45.3,77.48,5094.8,59.18
2022-10-11,44.05,77.48,4954.2,57.55
2022-10-12,43.2,77.48,4858.6,56.44
2022-10-13,42.7,77.48,4802.4,55.78
2022-10-14,44.3,77.48,4982.3,57.87
2022-10-17,43.75,77.48,4920.5,57.16
2022-10-18,44.4,77.48,4993.6,58.01
2022-10-19,42.2,77.48,4746.2,55.13
2022-10-20,41.0,77.48,4611.2,53.56
2022-10-21,40.5,77.48,4555.0,52.91
2022-10-24,39.05,77.48,4391.9,51.02
2022-10-25,39.3,77.48,4420.0,51.34
2022-10-26,40.75,77.48,4583.1,53.24
2022-10-27,40.65,77.48,4571.8,53.11
2022-10-28,40.0,77.48,4498.7,52.26
2022-10-31,39.45,77.48,4436.9,51.54
2022-11-01,41.05,77.48,4616.8,53.63
2022-11-02,41.85,77.48,4706.8,54.67
2022-11-03,40.3,77.48,4532.5,52.65
2022-11-04,41.5,77.48,4667.4,54.22
2022-11-07,42.35,77.48,4763.0,55.33
2022-11-08,42.2,77.48,4746.2,55.13
2022-11-09,41.8,77.48,4701.2,54.61
2022-11-10,42.0,77.48,4723.7,54.87
2022-11-11,43.55,77.48,4898.0,56.89
2022-11-14,43.8,77.48,4926.1,57.22
2022-11-15,44.2,77.48,4971.1,57.74
2022-11-16,43.95,77.48,4943.0,57.42
2022-11-17,43.6,77.48,4903.6,56.96
2022-11-18,42.9,77.48,4824.9,56.05
2022-11-21,42.8,77.48,4813.6,55.91
2022-11-22,42.85,77.48,4819.3,55.98
2022-11-23,42.35,77.48,4763.0,55.33
2022-11-24,42.55,77.48,4785.5,55.59
2022-11-25,41.8,77.48,4701.2,54.61
2022-11-28,42.0,77.48,4723.7,54.87
2022-11-29,43.6,77.48,4903.6,56.96
2022-11-30,45.1,77.48,5072.3,58.92
2022-12-01,45.05,77.48,5066.7,58.85
2022-12-02,44.1,77.48,4959.9,57.61
2022-12-05,42.85,77.48,4819.3,55.98
2022-12-06,43.55,77.48,4898.0,56.89
2022-12-07,42.8,77.48,4813.6,55.91
2022-12-08,43.5,77.48,4892.4,56.83
2022-12-09,43.45,77.48,4886.8,56.76
2022-12-12,42.4,77.48,4768.7,55.39
2022-12-13,43.85,77.48,4931.7,57.29
2022-12-14,44.1,77.48,4959.9,57.61
2022-12-15,42.55,77.48,4785.5,55.59
2022-12-16,42.55,77.48,4785.5,55.59
2022-12-19,43.0,77.48,4836.1,56.18
2022-12-20,42.8,77.48,4813.6,55.91
2022-12-21,42.85,77.48,4819.3,55.98
2022-12-22,44.4,77.48,4993.6,58.01
2022-12-23,44.25,77.48,4976.7,57.81
2022-12-28,44.8,77.48,5038.6,58.53
2022-12-29,44.35,77.48,4988.0,57.94
2022-12-30,44.1,77.48,4959.9,57.61
2023-01-03,43.65,84.99,4909.2,51.99
2023-01-04,43.65,84.99,4909.2,51.99
2023-01-05,44.45,84.99,4999.2,52.94
2023-01-06,43.9,84.99,4937.4,52.28
2023-01-09,44.7,84.99,5027.3,53.24
2023-01-10,44.25,84.99,4976.7,52.7
2023-01-11,43.6,84.99,4903.6,51.93
2023-01-12,43.7,84.99,4914.9,52.05
2023-01-13,44.95,84.99,5055.5,53.53
2023-01-16,45.0,84.99,5061.1,53.59
2023-01-17,43.75,84.99,4920.5,52.11
2023-01-18,44.1,84.99,4959.9,52.52
2023-01-19,43.25,84.99,4864.3,51.51
2023-01-20,42.95,84.99,4830.5,51.15
2023-01-26,43.95,84.99,4943.0,52.34
2023-01-27,44.1,84.99,4959.9,52.52
2023-01-30,44.45,84.99,4999.2,52.94
2023-01-31,44.25,84.99,4976.7,52.7
2023-02-01,44.45,84.99,4999.2,52.94
2023-02-02,44.75,84.99,5033.0,53.3
2023-02-03,44.65,84.99,5021.7,53.18
2023-02-06,45.05,84.99,5066.7,53.65
2023-02-07,44.45,84.99,4999.2,52.94
2023-02-08,44.65,84.99,5021.7,53.18
2023-02-09,44.05,84.99,4954.2,52.46
2023-02-10,43.15,84.99,4853.0,51.39
2023-02-13,43.45,84.99,4886.8,51.75
2023-02-14,43.7,84.99,4914.9,52.05
2023-02-15,43.55,84.99,4898.0,51.87
2023-02-16,43.8,84.99,4926.1,52.17
2023-02-17,43.15,84.99,4853.0,51.39
2023-02-20,43.45,84.99,4886.8,51.75
2023-02-21,43.15,84.99,4853.0,51.39
2023-02-22,44.0,84.99,4948.6,52.4
2023-02-23,43.95,84.99,4943.0,52.34
2023-02-24,43.75,84.99,4920.5,52.11
2023-02-27,43.8,84.99,4926.1,52.17
2023-02-28,44.0,84.99,4948.6,52.4
2023-03-01,44.45,84.99,4999.2,52.94
2023-03-02,44.35,84.99,4988.0,52.82
2023-03-03,43.8,84.99,4926.1,52.17
2023-03-06,44.45,84.99,4999.2,52.94
2023-03-07,44.0,84.99,4948.6,52.4
2023-03-08,44.5,84.99,5004.8,53.0
2023-03-09,44.45,84.99,4999.2,52.94
2023-03-10,44.3,84.99,4982.3,52.76
2023-03-13,44.85,84.99,5044.2,53.42
2023-03-14,43.9,84.99,4937.4,52.28
2023-03-15,44.25,84.99,4976.7,52.7
2023-03-16,44.2,84.99,4971.1,52.64
2023-03-17,44.5,84.99,5004.8,53.0
2023-03-20,43.9,84.99,4937.4,52.28
2023-03-21,44.3,84.99,4982.3,52.76
2023-03-22,44.55,84.99,5010.5,53.06
2023-03-23,44.75,84.99,5033.0,53.3
2023-03-24,44.9,84.99,5049.8,53.48
2023-03-27,45.5,84.99,5117.3,54.19
2023-03-28,45.85,84.99,5156.7,54.61
