Date,股价_港元,CNYHKD,EPS_TTM_人民币,PE_TTM_近似
2022-06-22,34.25,1.1734520196914673,0.62,47.076433085347276
2022-06-23,35.150001525878906,1.1710269451141357,0.62,48.41353231429365
2022-06-24,36.54999923706055,1.1713910102844238,0.62,50.32616022754379
2022-06-27,38.70000076293945,1.1743730306625366,0.62,53.15121723635169
2022-06-28,38.900001525878906,1.1724740266799927,0.62,53.51243312623961
2022-06-29,37.29999923706055,1.1694810390472412,0.62,51.44272295431625
2022-06-30,37.900001525878906,1.1710280179977417,0.62,52.20117177356674
2022-07-04,37.599998474121094,1.1711399555206299,0.62,51.78301580725062
2022-07-05,36.900001525878906,1.1710209846496582,0.62,50.824137460832006
2022-07-06,35.29999923706055,1.1676700115203857,0.62,48.75990826062782
2022-07-07,34.04999923706055,1.1694990396499634,0.62,46.959725272283926
2022-07-08,33.150001525878906,1.1709799766540527,0.62,45.6606820462952
2022-07-11,32.599998474121094,1.1728260517120361,0.62,44.83243071164779
2022-07-12,29.549999237060547,1.1684399843215942,0.62,40.7905324463076
2022-07-13,29.950000762939453,1.166862964630127,0.62,41.39856547659215
2022-07-14,28.200000762939453,1.167678952217102,0.62,38.952378230273005
2022-07-15,25.600000381469727,1.1619789600372314,0.62,35.534484371899396
2022-07-18,22.299999237060547,1.162382960319519,0.62,30.943107334479038
2022-07-19,22.25,1.1636849641799927,0.62,30.839185758047417
2022-07-20,22.450000762939453,1.1639699935913086,0.62,31.10877329249798
2022-07-21,22.75,1.1617980003356934,0.62,31.58341499683631
2022-07-22,22.850000381469727,1.1595779657363892,0.62,31.782976577643513
2022-07-25,20.799999237060547,1.1610679626464844,0.62,28.894420434922736
2022-07-26,21.049999237060547,1.1626360416412354,0.62,29.202270062736492
2022-07-27,19.899999618530273,1.160446047782898,0.62,27.658996848321774
2022-07-28,19.299999237060547,1.1613019704818726,0.62,26.805285635225676
2022-07-29,18.0,1.1633249521255493,0.62,24.956275554367103
2022-08-01,17.8799991607666,1.162269949913025,0.62,24.812401220538447
2022-08-02,17.479999542236328,1.1593259572982788,0.62,24.31891347837255
2022-08-03,17.219999313354492,1.1621429920196533,0.62,23.899117949871563
2022-08-04,17.81999969482422,1.161054015159607,0.62,24.75503690299963
2022-08-05,18.420000076293945,1.1630380153656006,0.62,25.544889461820695
2022-08-08,17.520000457763672,1.1570689678192139,0.62,24.422109693008995
2022-08-09,17.799999237060547,1.1625800132751465,0.62,24.694795937466925
2022-08-10,17.15999984741211,1.162145972251892,0.62,23.815785425903623
2022-08-11,17.639999389648438,1.1664719581604004,0.62,24.391166645495517
2022-08-12,18.600000381469727,1.1630480289459229,0.62,25.794292126063727
2022-08-15,19.299999237060547,1.161870002746582,0.62,26.79218066903362
2022-08-16,18.760000228881836,1.1570119857788086,0.62,26.151902709050983
2022-08-17,19.3799991607666,1.1544890403747559,0.62,27.075235943669224
2022-08-18,18.420000076293945,1.1563539505004883,0.62,25.69254641241185
2022-08-19,18.700000762939453,1.156412959098816,0.62,26.081765441847537
2022-08-22,19.239999771118164,1.1500799655914307,0.62,26.982695659247906
2022-08-23,18.760000228881836,1.145777940750122,0.62,26.40831509243739
2022-08-24,18.139999389648438,1.148229956626892,0.62,25.48101394048387
2022-08-25,19.299999237060547,1.143164038658142,0.62,27.230589814613655
2022-08-26,19.520000457763672,1.1455299854278564,0.62,27.484109631849737
2022-08-29,19.5,1.1369889974594116,0.62,27.66219635678451
2022-08-30,19.399999618530273,1.1359779834747314,0.62,27.544831344055204
2022-08-31,20.450000762939453,1.135614037513733,0.6014,29.94326490666351
2022-09-01,20.149999618530273,1.1386820077896118,0.6014,29.424504625230703
2022-09-02,19.479999542236328,1.1360869407653809,0.6014,28.511098525260785
2022-09-05,19.020000457763672,1.1324290037155151,0.6014,27.927760749547797
2022-09-06,18.639999389648438,1.1317059993743896,0.6014,27.387276843124226
2022-09-07,18.459999084472656,1.1287319660186768,0.6014,27.194271356721472
2022-09-08,18.020000457763672,1.1268789768218994,0.6014,26.589740395541188
2022-09-09,18.719999313354492,1.1281119585037231,0.6014,27.59244602882733
2022-09-13,18.860000610351562,1.1331180334091187,0.6014,27.675987600399903
2022-09-14,18.5,1.133923053741455,0.6014,27.128433686019296
2022-09-15,18.65999984741211,1.1273499727249146,0.6014,27.52259968807399
2022-09-16,18.299999237060547,1.1220849752426147,0.6014,27.1182650201184
2022-09-19,18.020000457763672,1.128190040588379,0.6014,26.55884059680293
2022-09-20,17.959999084472656,1.120393991470337,0.6014,26.65459667305269
2022-09-21,17.260000228881836,1.1183550357818604,0.6014,25.662423971550087
2022-09-22,16.479999542236328,1.113355040550232,0.6014,24.612747247002417
2022-09-23,16.440000534057617,1.1086000204086304,0.6014,24.658322101709047
2022-09-26,16.84000015258789,1.1151659488677979,0.6014,25.109563748440145
2022-09-27,17.899999618530273,1.114001989364624,0.6014,26.71798068575237
2022-09-28,17.219999313354492,1.0942230224609375,0.6014,26.167597917104143
2022-09-29,16.1200008392334,1.0894479751586914,0.6014,24.603400729531945
2022-09-30,14.4399995803833,1.1008989810943604,0.6014,21.81003121114301
2022-10-03,15.180000305175781,1.102097988128662,0.6014,22.902777130331856
2022-10-05,16.559999465942383,1.1033469438552856,0.6014,24.956564371875633
2022-10-06,15.84000015258789,1.1038780212402344,0.6014,23.860012742046816
2022-10-07,15.420000076293945,1.1031509637832642,0.6014,23.2426693158639
2022-10-10,13.779999732971191,1.0985490083694458,0.6014,20.85769675167574
2022-10-11,13.180000305175781,1.0971150398254395,0.6014,19.975599769307895
2022-10-12,12.979999542236328,1.094871997833252,0.6014,19.712781351977736
2022-10-13,12.140000343322754,1.0940419435501099,0.6014,18.451059225764997
2022-10-14,12.800000190734863,1.0946240425109863,0.6014,19.443818995287646
2022-10-17,12.800000190734863,1.0935570001602173,0.6014,19.462791374711504
2022-10-18,13.319999694824219,1.090047001838684,0.6014,20.318683543461017
2022-10-19,12.399999618530273,1.089534044265747,0.6014,18.92419624264539
2022-10-20,12.199999809265137,1.0862740278244019,0.6014,18.674844926894558
2022-10-21,12.020000457763672,1.087515950202942,0.6014,18.378303750660255
2022-10-24,10.420000076293945,1.0832810401916504,0.6014,15.99422334575722
2022-10-25,10.960000038146973,1.0806430578231812,0.6014,16.864165828190014
2022-10-26,10.920000076293945,1.0798280239105225,0.6014,16.815300137013487
2022-10-27,10.920000076293945,1.0942959785461426,0.6014,16.592980943361813
2022-10-28,10.199999809265137,1.0855239629745483,0.6014,15.624183283621266
2022-10-31,10.15999984741211,1.081084966659546,0.6014,15.626814235220618
2022-11-01,11.15999984741211,1.0747090578079224,0.6014,17.266720367144472
2022-11-02,11.65999984741211,1.0786139965057373,0.6014,17.975007051067617
2022-11-03,11.399999618530273,1.0767539739608765,0.6014,17.604550059165643
2022-11-04,12.279999732971191,1.074813961982727,0.6014,18.997726638816857
2022-11-07,13.5,1.0963339805603027,0.6014,20.475167798192082
2022-11-08,13.0600004196167,1.0854380130767822,0.6014,20.00666684363538
2022-11-09,12.65999984741211,1.082811951637268,0.6014,19.440938928933246
2022-11-10,12.239999771118164,1.0842889547348022,0.6014,18.7703751280124
2022-11-11,14.579999923706055,1.0916459560394287,0.6014,22.2081451692589
2022-11-14,14.65999984741211,1.099599003791809,0.6014,22.168494697336985
2022-11-15,16.68000030517578,1.107100009918213,0.6014,25.052194558321133
2022-11-16,15.65999984741211,1.109894037246704,0.6014,23.46101577415369
2022-11-17,15.619999885559082,1.1037499904632568,0.6014,23.531352507449757
2022-11-18,14.960000038146973,1.093418002128601,0.6014,22.750028811213937
2022-11-21,14.579999923706055,1.0961339473724365,0.6014,22.11721653477884
2022-11-22,13.899999618530273,1.0894160270690918,0.6014,21.21571166435089
2022-11-23,13.899999618530273,1.095062017440796,0.6014,21.106326349292925
2022-11-24,13.640000343322754,1.0919770002365112,0.6014,20.770046381099807
2022-11-25,13.600000381469727,1.0913029909133911,0.6014,20.721927567778863
2022-11-28,13.880000114440918,1.0865980386734009,0.6014,21.240127976833826
2022-11-29,15.359999656677246,1.083866000175476,0.6014,23.564172273121578
2022-11-30,17.34000015258789,1.0910429954528809,0.6014,26.426753133208738
2022-12-01,17.200000762939453,1.1000150442123413,0.6014,25.999585103503055
2022-12-02,17.5,1.1042619943618774,0.6014,26.351327571099315
2022-12-05,18.100000381469727,1.1094399690628052,0.6014,27.12759870721885
2022-12-06,17.959999084472656,1.1155660152435303,0.6014,26.769953144399235
2022-12-07,17.799999237060547,1.1114059686660767,0.6014,26.630776829353806
2022-12-08,21.75,1.1176179647445679,0.6014,32.3595492459771
2022-12-09,22.049999237060547,1.117110013961792,0.6014,32.820803583099355
2022-12-12,20.399999618530273,1.1155439615249634,0.6014,30.40745311926949
2022-12-13,19.81999969482422,1.1141940355300903,0.6014,29.578720964803274
2022-12-14,19.860000610351562,1.1191480159759521,0.6014,29.50722067299646
2022-12-15,19.18000030517578,1.1186540126800537,0.6014,28.509486900604877
2022-12-16,18.860000610351562,1.1160459518432617,0.6014,28.09934536353619
2022-12-19,18.780000686645508,1.1155120134353638,0.6014,27.993546861637622
2022-12-20,17.899999618530273,1.1145269870758057,0.6014,26.705395186370055
